dealer_id,rounded_price,car_id,price,url
7199,35000,28078054,35995,https://www.m4sales.co.uk/vehicle-details/used-ford-transit-460-ecoblue-leader-17-seat-for-sale-minibus-centre-u7274/
7199,40000,27932013,41995,https://www.m4sales.co.uk/vehicle-details/used-peugeot-boxer-bluehdi-435-professional-premium-euro-6-for-sale-minibus-centre-u7251/
7199,45000,27932012,45995,https://www.m4sales.co.uk/vehicle-details/used-peugeot-boxer-17-seat-minibuslite-bluehdi-435-professional-premium-euro-6-for-sale-minibus-centre-u7236/
7201,5000,21778736,9989,https://www.vanstar.co.uk/used-ford-transit-connect-leeds-yorkshire-5421424
7201,10000,22315339,14989,https://www.vanstar.co.uk/used-toyota-proace-city-leeds-yorkshire-5413899
7201,15000,23127802,19989,https://www.vanstar.co.uk/used-ford-transit-leeds-yorkshire-5650040
7201,20000,22363417,23989,https://www.vanstar.co.uk/used-ford-transit-leeds-yorkshire-5521243
7201,25000,17722664,28989,https://www.vanstar.co.uk/used-volkswagen-transporter-leeds-yorkshire-4425294
7201,30000,25888742,31989,https://www.vanstar.co.uk/used-ford-transit-custom-leeds-yorkshire-6373916
7201,35000,25728577,37989,https://www.vanstar.co.uk/used-volkswagen-transporter-leeds-yorkshire-6309494
7201,40000,26052501,42989,https://www.vanstar.co.uk/used-volkswagen-transporter-leeds-yorkshire-6394003
7201,45000,27508037,47989,https://www.vanstar.co.uk/used-mercedes-benz-vito-leeds-yorkshire-6794349
7201,50000,28101984,52989,https://www.vanstar.co.uk/used-ford-ranger-leeds-yorkshire-6943322
7203,0,24730813,2295,https://www.motortrustuk-preston.co.uk/used-mitsubishi-asx-preston-lancashire-6758834
7203,5000,26309745,8495,https://www.motortrustuk-preston.co.uk/used-toyota-hi-lux-preston-lancashire-6763449
7203,10000,28069012,10495,https://www.motortrustuk-preston.co.uk/used-nissan-navara-preston-lancashire-6946577
7206,5000,24391269,7985,https://www.autochoicecarsupermarket.com/used-kia-ceed-blackburn-lancashire-6034711
